Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,532201219,6827.87174724795,3267537,41.92084266042862,574365,6305358,80.89454553557466,8893,0.1140926801377281,2160,
United States of America,Americas,84292712,25465.872,741391,223.983,167186,1000850,302.369,2643,0.798,1077
India,South-East Asia,43205106,3130.795,36521,2.646,7584,524747,38.025,96,0.007,24
Brazil,Americas,31315777,14732.717,255760,120.324,49614,667647,314.099,846,0.398,299
France,Europe,28851246,44359.672,163687,251.674,40151,145390,223.542,274,0.421,42
Germany,Europe,26738530,32150.52,265495,319.232,50313,139729,168.011,34,0.041,2
The United Kingdom,Europe,22363071,32942.094,44253,65.187,0,179083,263.8,172,0.253,0
Russian Federation,Europe,18369557,12587.539,25593,17.537,3678,379883,260.311,520,0.356,70
Republic of Korea,Western Pacific,18209650,35517.729,67847,132.335,9315,24341,47.477,112,0.218,18
Italy,Europe,17589595,29492.214,131645,220.727,23534,167253,280.431,418,0.701,84
Turkey,Europe,15073722,17872.764,0,0,0,98969,117.347,0,0,0
Spain,Europe,12470974,26347.529,27398,57.884,0,106946,225.946,61,0.129,0
Viet Nam,Western Pacific,10728720,11022.064,6086,6.252,802,43081,44.259,1,0.001,0
Argentina,Americas,9276618,20525.41,46045,101.879,0,128973,285.365,84,0.186,0
Japan,Western Pacific,9008130,7122.377,114374,90.431,17201,30844,24.387,167,0.132,26
Netherlands,Europe,8099603,46529.16,10835,62.243,2440,22330,128.277,4,0.023,3
Australia,Western Pacific,7538022,29561.005,196044,768.803,33282,8919,34.977,307,1.204,58
Iran (Islamic Republic of),Eastern Mediterranean,7233117,8611.576,674,0.802,0,141342,168.278,24,0.029,0
Colombia,Americas,6109105,12006.207,5650,11.104,0,139867,274.88,13,0.026,0
Indonesia,South-East Asia,6059363,2215.298,3346,1.223,627,156638,57.267,34,0.012,3
Poland,Europe,6009726,15832.51,1431,3.77,247,116369,306.572,31,0.082,1
Mexico,Americas,5802672,4500.541,14987,11.624,0,325055,252.112,10,0.008,0
Ukraine,Europe,5014929,11466.952,3496,7.994,0,108605,248.332,67,0.153,0
Portugal,Europe,4917127,47758.066,143952,1398.148,22575,23531,228.547,285,2.768,39
Malaysia,Western Pacific,4520852,13967.905,10656,32.923,1887,35708,110.326,28,0.087,3
Thailand,South-East Asia,4479888,6418.18,19332,27.696,2836,30286,43.39,173,0.248,24
Austria,Europe,4316435,48493.472,21786,244.757,5189,19963,224.277,14,0.157,0
Israel,Europe,4172691,48208.321,25156,290.635,5863,10867,125.55,0,0,0
Belgium,Europe,4170252,36192.438,9206,79.896,9,31816,276.122,36,0.312,1
South Africa,Africa,3975062,6702.326,11668,19.673,1976,101448,171.051,198,0.334,24
Czechia,Europe,3922545,36680.076,1804,16.869,291,40298,376.83,5,0.047,0
Canada,Americas,3889420,10305.241,12856,34.063,3867,41348,109.554,95,0.252,34
Chile,Americas,3783945,19794.44,63611,332.76,12436,58036,303.596,116,0.607,31
Philippines,Western Pacific,3692336,3369.501,1447,1.32,252,60456,55.17,1,0.001,0
China,Western Pacific,3682501,250.291,497599,33.821,73344,18200,1.237,1073,0.073,212
Switzerland,Europe,3667745,42379.051,4588,53.012,0,13267,153.294,2,0.023,0
Peru,Americas,3587142,10879.406,5618,17.039,900,213289,646.882,84,0.255,8
Greece,Europe,3487775,32539.57,27022,252.105,4500,29976,279.664,102,0.952,10
Denmark,Europe,3142483,53968.932,4350,74.707,912,6395,109.828,23,0.395,3
Romania,Europe,2911877,15064.936,2200,11.382,341,65702,339.917,16,0.083,2
Sweden,Europe,2510930,24312.838,1587,15.367,466,19049,184.448,6,0.058,0
Iraq,Eastern Mediterranean,2329108,5790.561,739,1.837,0,25221,62.704,2,0.005,0
Serbia,Europe,2019706,29158.251,1761,25.423,277,16096,232.376,13,0.188,0
Bangladesh,South-East Asia,1953935,1186.437,372,0.226,123,29131,17.688,0,0,0
Hungary,Europe,1921486,19668.16,1646,16.848,0,46571,476.697,24,0.246,0
Slovakia,Europe,1790959,32814.23,942,17.259,168,20112,368.495,9,0.165,3
Jordan,Eastern Mediterranean,1697271,16634.801,334,3.274,0,14068,137.879,2,0.02,0
Georgia,Europe,1658240,41568.495,511,12.81,0,16835,422.017,7,0.175,0
Ireland,Europe,1570519,31635.371,4243,85.468,0,7416,149.382,32,0.645,0
Pakistan,Eastern Mediterranean,1530878,693.043,358,0.162,0,30379,13.753,0,0,0
Norway,Europe,1435741,26748.386,1489,27.741,178,3210,59.803,38,0.708,0
Kazakhstan,Europe,1395027,7429.562,92,0.49,14,19016,101.274,0,0,0
Singapore,Western Pacific,1332656,22779.113,22040,376.73,3431,1396,23.862,7,0.12,2
New Zealand,Western Pacific,1222199,25345.084,42616,883.74,6383,1247,25.859,84,1.742,7
Morocco,Eastern Mediterranean,1171972,3175.167,2915,7.897,0,16082,43.57,4,0.011,0
Bulgaria,Europe,1166589,16781.875,1051,15.119,113,37194,535.051,41,0.59,6
Croatia,Europe,1139034,28067.71,1842,45.39,322,16012,394.563,17,0.419,5
Finland,Europe,1114573,20172.201,6993,126.563,0,4714,85.317,1,0.018,0
Cuba,Americas,1105546,9760.603,157,1.386,29,8529,75.301,0,0,0
Lebanon,Eastern Mediterranean,1100202,16119.125,701,10.27,0,10440,152.957,7,0.103,0
Lithuania,Europe,1063835,38074.471,882,31.567,171,9153,327.584,4,0.143,1
Tunisia,Eastern Mediterranean,1043540,8829.627,668,5.652,0,28648,242.397,7,0.059,0
Slovenia,Europe,1027524,49026.343,1864,88.937,332,7796,371.971,0,0,0
Belarus,Europe,982867,10401.456,0,0,0,6978,73.847,0,0,0
Nepal,South-East Asia,979242,3360.842,60,0.206,7,11952,41.02,0,0,0
Uruguay,Americas,934961,26915.189,9184,264.384,0,7262,209.055,24,0.691,0
Mongolia,Western Pacific,925227,28222.854,0,0,0,2115,64.515,0,0,0
